shot_id,duration,shot_type,camera,character,action,dialogue,Image_Prompt,Video_Prompt
1,6,全景,固定鏡頭，緩慢平移,千尋，父母,一家三口站在一個古老、爬滿藤蔓的石砌隧道入口前，千尋緊抓著媽媽的手臂，表情緊張,千尋：我們真的要進去嗎？,"A wide shot of a mysterious, ancient stone tunnel entrance overgrown with ivy and moss. A young girl in a green shirt clings to her mother's arm, looking apprehensive, while her father stands confidently. Bright daylight outside contrasts with the tunnel's darkness. Studio Ghibli style, detailed watercolor painting, soft natural lighting, sense of foreboding.","A wide, static shot of the ancient tunnel entrance. The camera slowly pans from the family to the dark opening, emphasizing the contrast between the safe, sunlit field and the mysterious tunnel. Studio Ghibli aesthetic, soft natural light, detailed background painting."
2,5,中景,跟拍，從背後,千尋，父母,父母毫不猶豫地走進隧道陰影中，千尋遲疑地跟在後面，回頭看了一眼來時的路,父親：別怕，這可能是個舊公園的入口。,"Medium shot from behind as a family walks into a dark, stone tunnel. The parents stride ahead confidently, while the young girl lags behind, turning her head to look back at the light. Studio Ghibli style, high contrast between light and shadow, detailed textures on the stone walls.","A medium tracking shot following the family from behind as they enter the tunnel. The camera moves with them, focusing on Chihiro's hesitant body language as she looks back. Ghibli style, lighting shifts from bright to dim."
3,8,全景,緩慢拉遠,千尋，父母,隧道內部，光線從另一端透入，形成長長的光柱。三人的身影在光柱中變成剪影，走向遠處的光亮,,"A wide interior shot of a long, arched stone tunnel. Beams of light pierce through dust particles, creating dramatic light shafts. Three silhouetted figures walk towards the distant light source. Studio Ghibli style, atmospheric, volumetric lighting, ethereal mood.","A wide, slow pull-back shot inside the tunnel. The camera reveals the scale and atmosphere as the family walks away as silhouettes towards the light. Studio Ghibli aesthetic, emphasizing dust motes in light beams and a sense of transition."
4,7,中景,從側面跟拍,千尋,千尋在隧道中快步小跑，追上父母，臉上帶著不安和好奇，手撫摸著潮濕的牆壁,千尋：這裡好安靜啊...,"Medium shot of a young girl running slightly to catch up in a dim tunnel. She touches the mossy, wet stone wall with a mix of fear and curiosity on her face. Studio Ghibli style, soft side lighting from the tunnel exit, detailed character expression.","A medium tracking shot from the side, following Chihiro as she jogs through the tunnel. The camera focuses on her interaction with the environment and her expressive face. Ghibli style, fluid animation, subtle lighting changes."
5,6,全景,從隧道內向外推,千尋，父母,三人走出隧道，眼前豁然開朗，是一片廣闊的草原和廢棄的日式建築群，風吹過草地,母親：看，果然是舊址。空氣真好。,"A wide shot from inside the tunnel looking out to a vast, sunlit meadow with overgrown grass and distant, mysterious abandoned buildings. The family stands at the exit, backlit. Studio Ghibli style, lush greenery, deep blue sky with fluffy clouds, inviting yet eerie.","A shot starting inside the tunnel, then pushing forward through the exit, revealing the expansive, beautiful yet strange landscape. The camera movement mimics stepping into a new world. Ghibli style, vibrant colors, wind effects on grass."
6,5,中景,固定,父母,父母興奮地走向一座空無一人的美食攤位，攤位上擺滿了豐盛、冒著熱氣的食物,父親：哇！看起來真不錯！還沒人看管？,"Medium shot of parents approaching a richly stocked food stall with steaming roasted meats, dumplings, and fruits. They look delighted and surprised. Studio Ghibli style, detailed and appetizing food render, warm golden hour lighting.","A static medium shot as the parents walk into frame towards the food stall. The focus is on their eager expressions and the detailed, tempting food. Ghibli style, warm lighting makes the food glow."
7,4,近景,固定,千尋,千尋站在遠處，皺著眉頭，雙手不安地握在一起，沒有靠近食物,千尋：爸爸，媽媽，我們不應該吃別人的東西...,"Close-up of Chihiro's worried face. She frowns, biting her lip slightly, her hands clasped tightly in front of her. Studio Ghibli style, expressive eyes showing apprehension, soft lighting contrasting her worry against the warm background.","A close-up static shot of Chihiro's face, highlighting her concerned expression and internal conflict as she watches her parents. Ghibli style, subtle eye and mouth animation to convey unease."
8,6,中景,搖鏡，從千尋搖到父母,父母,父母不聽勸告，已經開始大口吃起來，臉上露出滿足甚至貪婪的表情,母親：沒關係，我們留下錢就好了。真好吃！,"Medium shot of the parents greedily eating food from the stall. Their faces show excessive enjoyment, sauce on their chins. Studio Ghibli style, slightly exaggerated expressions, warm but isolating lighting.","A panning shot from Chihiro's worried perspective to her parents eating ravenously. The camera movement connects her isolation to their indulgence. Ghibli style, focus on their rapid eating motions."
9,8,特寫,極慢推近,父親的手,父親的手抓起又一個食物塞進嘴裡，動作變得急促、機械,,"Extreme close-up on a father's hand grabbing a piece of meat and shoving it into his mouth. The motion is frantic. Studio Ghibli style, detailed hand animation, food textures, unsettling mood.","An extreme close-up, slow push-in on the father's hand repeatedly grabbing food. The movement becomes more frantic, signaling loss of control. Ghibli style, detailed animation of fingers and food."
10,7,全景（俯角）,拉遠並緩慢上升,父母，千尋,父母的身體開始扭曲變形，衣服散落，逐漸變成兩頭粉色的豬，發出哼叫聲。千尋在遠處驚恐地捂住嘴,千尋：啊——！爸爸！媽媽！,"High-angle wide shot. Two humans are grotesquely transforming into large, pink pigs amidst scattered clothing and overturned food. A small girl stands horrified in the background. Studio Ghibli style, surreal and horrifying transformation sequence, dramatic lighting.","A wide shot that slowly pulls back and rises, revealing the full, horrifying transformation of the parents into pigs. Chihiro's small figure is seen reacting in shock. Ghibli style, fluid but disturbing metamorphosis animation."
11,5,近景,手持晃動感,千尋,千尋驚恐地後退，眼睛瞪大，淚水在眼眶裡打轉，呼吸急促,,"Close-up, shaky shot of Chihiro's terrified face. Her eyes are wide with shock, tears welling up, mouth slightly open in a silent scream. Studio Ghibli style, highly expressive, emotional close-up, dynamic lighting.","A close-up shot with slight handheld shake to convey panic. Focus on Chihiro's face as horror sets in—eyes darting, tears forming. Ghibli style, intense emotional expression."
12,6,中景,快速搖攝,千尋,千尋轉身在空曠的街道上狂奔，周圍的建築在暮色中顯得詭異，她的身影顯得無比孤單渺小,,"Medium shot of Chihiro running desperately down an empty, twilight street lined with mysterious traditional buildings. Her small figure is silhouetted against the darkening sky. Studio Ghibli style, atmospheric dusk lighting, deep blues and purples, sense of isolation.","A medium shot with a quick pan following Chihiro as she runs frantically. The camera movement is urgent, matching her panic. Ghibli style, background buildings blur, emphasizing her speed and fear."
13,7,特寫,固定,千尋的手,千尋低頭看著自己的手，發現手指開始變得透明，能隱約看到後面的石板路,千尋：不...不要...,"Extreme close-up on Chihiro's hands held in front of her face. Her fingers are becoming translucent, ghostly, revealing the texture of the stone path beneath. Studio Ghibli style, magical and eerie effect, soft focus on the fading flesh.","A static extreme close-up on Chihiro's hands. The transparency effect slowly manifests, creating a haunting visual. Ghibli style, subtle animation of the fading opacity, focus on the detail."
14,8,中景,環繞,千尋,千尋驚慌地檢查自己的全身，手臂、腿都在暮光中逐漸變得透明，她像個即將消失的幽靈,,"Medium shot of Chihiro turning around, looking at her arms and legs as they slowly fade into transparency. The twilight glow passes through her body. Studio Ghibli style, beautiful yet terrifying visual of dissolution, ethereal lighting.","A medium shot where the camera slowly circles around Chihiro, showcasing her entire body becoming translucent from different angles. Ghibli style, magical particle effects maybe, emphasizing her fading existence."
15,6,近景,緩慢推近,千尋的臉,千尋絕望地跪坐在地上，透明的臉龐上淚水滑落，她看著自己即將消失的雙手，充滿無助,我要消失了...,"Close-up on Chihiro's face as she kneels. Her face is partially transparent, with a single tear rolling down her cheek. Eyes are filled with utter despair and confusion. Studio Ghibli style, emotional depth, light passing through her features.","A slow push-in to a close-up of Chihiro's fading face. The camera emphasizes her tears and the transparency effect as she confronts her dissolution. Ghibli style, focus on the emotional weight of the moment."
16,5,中景,從千尋背後快速拉開,千尋，白龍（身影）,一個少年的身影突然出現在千尋身後的橋上，大風吹起他的衣袂,白龍：你不能待在這兒！快點！,"Medium shot from behind Chihiro. A mysterious boy in traditional hakama stands on a bridge in the distance, his clothes flowing in the wind. Chihiro is small and fading in the foreground. Studio Ghibli style, dramatic wind effects, silhouetted figure, sense of urgency.","A shot starting on Chihiro's back, then quickly pulling back and up to reveal Haku's figure appearing on the bridge. The wind is strong. Ghibli style, dynamic camera move introducing the rescuer."
17,4,近景,快速切,白龍,白龍表情嚴肅而急切，伸出手指向千尋,趁天還沒完全黑，快跟我來！,"Close-up of Haku's face. He looks determined and urgent, his eyes focused intently. His hand is outstretched in a commanding gesture. Studio Ghibli style, handsome but stern character design, wind blowing his hair.","A quick cut to a close-up of Haku, his expression urgent as he speaks and gestures. Ghibli style, clear enunciation and forceful body language animation."
18,6,中景,跟拍,千尋，白龍,白龍跑過來，一把抓住千尋幾乎透明的手腕。他的觸碰似乎讓她的透明度暫緩,,"Medium shot of Haku grabbing Chihiro's translucent wrist. His grip is firm. A faint glow emanates from their point of contact. Studio Ghibli style, magical energy effect, contrast between his solid form and her fading one.","A medium tracking shot as Haku runs into frame and grabs Chihiro's wrist. The camera follows the action, focusing on the connection and the slight magical stabilization of her form. Ghibli style, fluid motion."
19,5,特寫,固定,兩人相握的手,白龍的手緊緊握著千尋半透明的手，一股溫暖的微光從交握處泛起,,"Extreme close-up on the joined hands. Haku's solid hand grips Chihiro's fading one. A soft, warm light glows at their contact, halting her disappearance. Studio Ghibli style, detailed hand anatomy, magical light effect.","A static extreme close-up on the hands. The magical glow pulses softly, emphasizing the life-saving connection. Ghibli style, subtle animation of the light effect."
20,7,中景（低角度）,拉昇,千尋，白龍,白龍將千尋拉起來，護在身邊，警惕地看向四周逐漸亮起燈火的詭異建築,白龍：閉上眼睛，不要呼吸。,"Low-angle medium shot of Haku helping Chihiro to her feet, shielding her. Behind them, the strange town begins to light up with lanterns, casting long shadows. Studio Ghibli style, dramatic low angle, contrasting warm lantern light against cool twilight.","A low-angle shot that pulls up slightly as Haku lifts Chihiro. The background lights up with lanterns, changing the atmosphere. Ghibli style, focus on his protective stance and the awakening world."
21,6,全景,跟隨，穿越街道,千尋，白龍,白龍拉著千尋在迷宮般的街道上快速穿行，兩旁的建築物變得更加清晰、華麗，燈火通明,,"Wide tracking shot following Haku and Chihiro as they run through narrow, lantern-lit streets of a fantastical bathhouse town. Traditional buildings with intricate details loom on both sides. Studio Ghibli style, vibrant night colors, bustling atmosphere (but no people yet), sense of scale.","A wide tracking shot moving with the characters as they navigate the streets. The camera weaves through the environment, showcasing the expanding, magical town. Ghibli style, dynamic movement, rich background animation."
22,8,中景,從千尋主觀視角,白龍的背影，環境,千尋被拉著跑，視角晃動，她仰視著白龍的背影和前方那座巨大、燈火輝煌、煙囪冒著蒸汽的湯屋,,"Medium shot from Chihiro's POV. Haku's back is in the foreground, leading her. In the background, the enormous, multi-storied Bathhouse (Aburaya) glows with countless lights and emits steam. Studio Ghibli style, imposing architecture, sense of awe and intimidation.","A shaky, medium POV shot from behind Haku, focusing on his back and the massive Bathhouse growing larger as they approach. The camera movement conveys her disorientation and awe. Ghibli style."
23,5,近景,固定,千尋,千尋氣喘吁吁，臉上混雜著恐懼、困惑和一絲希望，緊緊盯著白龍的後背,千尋：那是...什麼地方？,"Close-up of Chihiro's face as she runs. She is out of breath, her expression a complex mix of terror, exhaustion, and budding reliance on her guide. Studio Ghibli style, detailed sweat and flush, reflective eyes catching the Bathhouse lights.","A close-up static shot of Chihiro's face while in motion. Her eyes are wide, reflecting the lights, and her breath is visible in the cool air. Ghibli style, conveying her inner turmoil."
24,7,全景（仰角）,緩慢上搖,湯屋,鏡頭仰視巨大的湯屋正門，紅色的燈籠，複雜的木結構，煙霧繚繞，充滿壓迫感和神秘感,白龍：湯屋。神靈來沐浴的地方。,"Extreme low-angle wide shot of the Bathhouse's main entrance. Massive wooden structure, countless red lanterns, billowing steam from pipes. It feels alive and imposing. Studio Ghibli style, intricate architectural details, warm but intimidating glow, night sky.","A slow tilt-up shot from the base of the Bathhouse, revealing its staggering height and grandeur. Steam drifts across the frame. Ghibli style, establishing the scale and power of the location."
25,6,中景,推近至門縫,千尋，白龍,白龍拉著千尋來到一扇小側門前。他推開門，裡面透出溫暖的金色光芒，與外部的黑暗形成對比,白龍：從這裡進去。記住，我說跑的時候，就拼命跑。,"Medium shot at a small, worn side door of the Bathhouse. Haku is pushing it open, revealing a sliver of warm, golden light inside. Chihiro hesitates on the threshold. Studio Ghibli style, contrast between cold blue night and inviting interior light, moment of decision.","A medium shot that slowly pushes in towards the side door as Haku opens it. The light spills out, illuminating their faces. The camera move draws the viewer into the next stage of the journey. Ghibli style, suspenseful transition."
26,5,中景,固定鏡頭,千尋，湯婆婆,千尋顫抖著手，在湯婆婆遞過來的契約上簽下自己的名字。湯婆婆的手指指著契約上的條款。,湯婆婆：從現在開始，你的名字叫小千。,"Medium shot, a young girl with a frightened expression signing a contract with a trembling hand, an imposing old witch with a large nose points at the parchment, inside a dimly lit, ornate office filled with clutter and magical trinkets, dramatic side lighting from a fireplace, Studio Ghibli style, detailed watercolor textures, sense of foreboding.","A medium shot, static camera. A frightened girl, Chihiro, signs a contract with a trembling hand. The imposing witch Yubaba points a bony finger at the parchment. The scene is set in a dim, cluttered office. Dramatic side lighting from a fireplace casts long shadows. Studio Ghibli style, detailed and atmospheric."
27,4,特寫,緩慢推進,千尋（小千）,契約上的墨水字跡“荻野千尋”逐漸模糊、消散，最終變成“小千”兩個字。千尋的眼睛睜大，充滿恐懼。,,"Extreme close-up on a parchment contract, the ink characters of the name 'Chihiro Ogino' magically fade and rearrange into the new name 'Sen', a reflection of a girl's wide, terrified eye is visible in the sheen of the ink, dark and mystical atmosphere, soft glowing light on the paper, Studio Ghibli style, magical and eerie.","An extreme close-up, slow push-in on a parchment contract. The ink of the name 'Chihiro Ogino' magically dissolves and reforms into the characters for 'Sen'. The reflection of Chihiro's terrified eye is seen in the wet ink. Soft, eerie glow on the paper. Studio Ghibli style, magical and unsettling transformation."
28,6,全景,俯角搖攝,小千，湯屋員工們,小千被帶到湯屋的巨大浴室區，周圍是忙碌的各種妖怪員工。她顯得渺小又不知所措，抱著清潔工具。,,"Wide overhead shot, a small girl named Sen stands alone amidst the vast, steamy bathhouse interior, surrounded by bustling yokai workers of all shapes and sizes carrying towels and buckets, intricate wooden architecture with multiple levels, steam fills the air, warm ambient light from lanterns, Studio Ghibli style, bustling and overwhelming scale.","A wide overhead shot, camera slowly pans across the vast bathhouse interior. Sen stands small and lost in the center, clutching cleaning supplies. Various yokai workers busily move around her. Steam rises, and lanterns provide warm light. Studio Ghibli style, emphasizing the overwhelming scale and her isolation."
29,5,中景,跟隨鏡頭,小千，玲,玲嚴厲地指導小千擦洗地板。小滿頭大汗，用力地刷洗著一塊頑固的污漬，動作笨拙但認真。,玲：別發呆！要把每個角落都擦乾淨！,"Medium shot, following, a young girl Sen scrubbing the wooden floor vigorously with a brush, sweat on her brow, an older girl Lin stands over her giving instructions, in a hallway of the bathhouse, steam and soap bubbles around, practical light from wall lanterns, Studio Ghibli style, focus on labor and determination.","A medium shot, camera follows Sen as she scrubs the floor. She works hard, sweat visible. Lin stands nearby, pointing and instructing sternly. The setting is a steamy bathhouse hallway. Practical lantern light. Studio Ghibli style, capturing the grueling work and Sen's determination."
30,7,全景,緩慢拉遠,小千,深夜，小千獨自坐在窗邊，疲憊地抱著膝蓋。她看著窗外陌生的靈界月亮，偷偷地哭泣，手裡緊緊握著朋友給她的飯糰。,,"Wide shot, a tired girl Sen sits curled up by a window in a small attic room, hugging her knees, tears silently streaming down her face as she looks out at a large, mystical moon in a starry spirit world sky, dim moonlight illuminates her face and the simple room, Studio Ghibli style, melancholic and lonely mood.","A wide shot, camera slowly pulls back. Sen sits alone by a window at night, exhausted and crying silently. She looks out at the large, magical moon of the spirit world. Moonlight softly lights her face and the sparse room. Studio Ghibli style, a quiet moment of profound loneliness and sorrow."
31,8,全景,從湯屋內向外搖,湯屋員工們,湯屋外傳來巨大的震動和惡臭。員工們驚慌地跑向窗戶和門口，指著遠處一個龐大、蠕動的、被污泥完全覆蓋的身影靠近。,員工：是腐爛神！腐爛神來了！,"Wide shot from inside the bathhouse, looking out through windows and doors, yokai employees in a panic pointing and recoiling, a massive, hulking figure covered in thick, dark sludge and debris lumbers towards the bathhouse, causing the ground to shake, ominous stormy sky, dim and fearful lighting, Studio Ghibli style, imposing and dreadful arrival.","A wide shot, camera pans from the panicking bathhouse employees to look outside. A gigantic, sludge-covered figure, the Stink Spirit, lumbers towards the bathhouse, shaking the ground. Employees scream and point. Stormy sky, dim light. Studio Ghibli style, building tension and dread with the creature's approach."
32,5,中景,固定鏡頭,湯婆婆，小千,湯婆婆堵住鼻子，一臉厭惡地命令躲在後面的小千去接待這個“客人”。小千嚇得臉色發白，但不敢拒絕。,湯婆婆：小千！你去接待這位客人！這是你的工作！,"Medium shot, the witch Yubaba pinching her nose with a disgusted expression, pointing a commanding finger at the young girl Sen who stands behind her looking pale and terrified, in the luxurious bathhouse lobby, contrast between opulence and the impending foulness, dramatic top lighting, Studio Ghibli style, tense and unfair delegation.","A medium shot, static camera. Yubaba, holding her nose, points imperiously at Sen. Sen stands behind, visibly terrified and pale. Set in the ornate bathhouse lobby. Dramatic lighting highlights the tension. Studio Ghibli style, focusing on the oppressive command and Sen's fear."
33,6,近景,手持晃動，跟隨,小千,小千強忍著令人作嘔的惡臭，眼睛被熏得流淚，她顫抖著雙手為龐大的腐爛神引路，走向最大的浴池。,,"Close-up, handheld shaky motion, on Sen's face as she gags and tears stream from her eyes from the overwhelming stench, she gestures forward with trembling hands, the enormous sludge-covered limb of the Stink Spirit is visible in the foreground, steamy and filthy bathhouse corridor, greenish foul haze in the air, Studio Ghibli style, visceral discomfort and courage.","A close-up, handheld shaky camera follows Sen's face. She gags, tears in her eyes from the horrific smell. She gestures forward nervously. The massive, filthy limb of the Stink Spirit is in frame. The corridor is steamy and filled with a foul haze. Studio Ghibli style, immersive and distressing perspective."
34,7,全景,俯角固定,小千，腐爛神,在巨大的浴池中，腐爛神浸泡在熱水裡。小千咬著牙，爬上它的身體，尋找拉環。污泥幾乎將她淹沒。,,"Wide overhead shot, the gigantic Stink Spirit submerged in a huge wooden bath, the tiny figure of Sen climbing courageously over its sludge-covered back, searching desperately, surrounded by murky, bubbling water and filth, steam rising, dramatic light from above cutting through the steam, Studio Ghibli style, epic scale of the task.","A wide overhead shot, static camera. The Stink Spirit fills the giant bath. Sen, a small figure, climbs over its sludgy back. Murky water bubbles around. Steam rises. Light from above pierces the steam. Studio Ghibli style, emphasizing the daunting scale of her mission and her bravery."
35,4,特寫,快速推進,小千的手,小千的手在污泥中摸索，突然觸碰到一個堅硬的、類似腳踏車把手的物體。她的手緊緊抓住它。,,"Extreme close-up, a quick push-in, on Sen's small, dirty hand grasping a metallic handlebar protruding from the thick sludge, water and grime drip from it, determined grip, focused light on the hand and handle, shallow depth of field, Studio Ghibli style, discovery of a key object.","An extreme close-up, quick push-in. Sen's dirty hand gropes through sludge and finds a metallic handlebar. She grips it tightly. Water drips. Light focuses on the hand and the discovered object. Shallow depth of field. Studio Ghibli style, a moment of crucial discovery amidst the filth."
36,9,中景,拉遠，展示全體,小千，湯屋員工們,小千大喊著讓大家幫忙。所有員工齊心協力，拉著一根從腐爛神體內扯出的繩子。像拔河一樣，他們身體後傾，用力拉扯。,小千：大家一起拉！,"Medium shot pulling back to wide, Sen leading the effort, all the bathhouse yokai employees lined up pulling on a thick rope that extends into the bath, their bodies straining backwards in a unified tug-of-war, water splashing, tense expressions, dynamic composition, steam-filled bathhouse, Studio Ghibli style, communal effort and triumph.","A medium shot that pulls back to a wide. Sen shouts encouragement. All the bathhouse workers, lined up, strain to pull a thick rope from the bath. A dynamic tug-of-war scene, water splashing. The bathhouse is filled with steam and tension. Studio Ghibli style, capturing the unified effort and growing momentum."
37,5,特寫,跟隨繩子運動,無,繩子緊繃，劇烈抖動。隨著一聲巨響，一個巨大的堵塞物（舊腳踏車、廢棄家具、各種垃圾）被從腐爛神體內猛地拉出，飛濺起巨大的水花。,,"Extreme close-up, following motion, the thick rope goes taut and vibrates violently, then a massive clog of garbage - a bicycle, tires, barrels - erupts from the water, sending a huge splash, debris flying, chaotic energy, slow-motion detail of water droplets, Studio Ghibli style, cathartic release.","An extreme close-up, camera follows the tension on the rope. It vibrates violently. Suddenly, a massive clog of garbage bursts from the water in slow-motion, sending a huge splash and debris flying. Chaotic energy. Studio Ghibli style, focusing on the visceral, cathartic moment of release."
38,6,全景,緩慢上升,河神,污泥褪去，腐爛神顯露出真身——一位威嚴、閃爍著水光的龍形河神。它優雅地盤旋上升，離開浴池，渾身散發著清潔的光芒。,,"Wide shot, low angle, camera tilts up, the transformed River Spirit, now a majestic, serpentine dragon made of clear, flowing water, rises gracefully from the bath, water cascading from its luminous form, filling the bathhouse with a serene blue light, awe-struck employees below, Studio Ghibli style, beautiful and transcendent transformation.","A wide low-angle shot, camera slowly tilts up. The River Spirit, transformed into a majestic water dragon, rises gracefully from the bath. Clear water cascades from its luminous body, emitting a serene blue light. Employees watch in awe below. Studio Ghibli style, a breathtaking and magical transformation."
39,4,近景,固定,小千,小千累得癱坐在濕漉漉的地板上，渾身污泥，但臉上露出了如釋重負的、疲憊的微笑。她看著自己髒兮兮的雙手。,,"Close-up, Sen collapsed on the wet floor, covered in mud but smiling a tired, relieved smile, looking at her own dirty hands, steam rises around her, soft light from the transformed bath illuminates her face, Studio Ghibli style, quiet satisfaction and exhaustion after a great ordeal.","A close-up, static camera. Sen sits exhausted on the wet floor, covered in grime. She smiles a tired, relieved smile and looks at her dirty hands. Soft, clean light from the transformed bath illuminates her. Steam rises. Studio Ghibli style, a moment of quiet personal triumph and exhaustion."
40,5,特寫,微距，緩慢聚焦,河神丸子,一顆閃爍著珍珠般光澤的綠色藥丸（河神丸子），被放在小千的掌心。藥丸微微發光，顯得純淨而強大。,,"Extreme close-up, macro focus, a single glowing green dumpling, the River God's medicine, rests in a small, dirty palm, it emits a soft pearl-like luminescence, shallow depth of field blurring the background, ethereal and magical quality, Studio Ghibli style, focus on a powerful magical object.","An extreme close-up, macro focus, slow rack focus onto a glowing green dumpling in a dirty palm. The River God's medicine emits a soft, pearl-like light. Shallow depth of field creates an ethereal blur. Studio Ghibli style, highlighting the beauty and power of the magical reward."
41,6,中景,環繞小千,小千，湯婆婆，員工們,湯婆婆一反常態，興奮地舉著河神留下的金沙。員工們歡呼，將小千拋向空中慶祝。小千在空中，手裡緊握著丸子，表情驚訝又開心。,湯婆婆：是金子！純金的金沙！,"Medium shot, low angle, dynamic camera circling, Sen is being joyfully tossed in the air by the celebrating bathhouse employees, Yubaba in the background gleefully holding up a handful of gold sand, confetti and steam in the air, festive and warm lighting, Sen holds the green dumpling tightly, surprised and happy, Studio Ghibli style, celebratory victory scene.","A medium low-angle shot, camera dynamically circles. Bathhouse employees toss Sen into the air in celebration. Yubaba gleefully holds up gold sand. Confetti and steam fill the air. Festive, warm light. Sen holds the dumpling, looking surprised and happy. Studio Ghibli style, a lively and triumphant celebration."
42,5,近景,固定,玲,玲走到小千身邊，不再是嚴厲的態度，而是帶著認可的微笑，輕輕拍了拍小千的肩膀。,玲：幹得不錯，小千。,"Close-up, Lin places a hand on Sen's shoulder with a genuine, approving smile, Sen looks up at her with gratitude, in the bustling background of the celebration, warm lantern light, Studio Ghibli style, moment of earned respect and budding friendship.","A close-up, static camera. Lin smiles approvingly and puts a hand on Sen's shoulder. Sen looks up gratefully. The celebratory bustle continues in the soft-focus background. Warm lantern light. Studio Ghibli style, a quiet moment of earned respect and connection."
43,7,全景,緩慢平移，展示環境,小千,夜晚，小千獨自來到湯屋外的橋邊。她看著手中發光的河神丸子，又望向遠處黑暗的沼澤，眼神變得堅定，似乎在做出一個重要的決定。,,"Wide shot, slow pan, Sen stands alone on the bridge outside the bathhouse at night, holding the glowing green dumpling in her hands, looking determinedly towards the dark swamp in the distance, the brightly lit bathhouse behind her, starry sky above, cool moonlight, Studio Ghibli style, contemplative and decisive mood.","A wide shot, camera slowly pans across the night scene. Sen stands on the bridge, holding the glowing dumpling. She looks determinedly towards the dark swamp. The lit bathhouse glows behind her under a starry sky. Cool moonlight. Studio Ghibli style, a moment of quiet resolve and foreshadowing."
44,4,特寫,聚焦於丸子,無,河神丸子在小千的掌心靜靜發光，它的光芒映在小千專注的眼睛裡。光暈柔和而神秘。,,"Extreme close-up, the glowing green River God dumpling rests in a palm, its soft light reflecting in the determined eyes of Sen who looks down at it, shallow depth of field, magical and ethereal glow, night atmosphere, Studio Ghibli style, symbol of hope and power.","An extreme close-up, focus on the glowing green dumpling in a palm. Its soft light is reflected in Sen's determined eyes, which are looking down at it. Shallow depth of field creates a dreamy blur. Night setting. Studio Ghibli style, emphasizing the object's symbolic power and her resolve."
45,5,中景,從背後跟隨,小千,小千將丸子小心地包好，藏進衣服裡。她深吸一口氣，轉身離開橋邊，步伐堅定地走回湯屋的燈火中，背影顯得比之前更有力量。,,"Medium shot from behind, following, Sen carefully wraps the dumpling and tucks it into her clothes, she takes a deep breath and walks with determined steps back towards the glowing entrance of the bathhouse, her silhouette strong against the light, night setting, Studio Ghibli style, transition from contemplation to action.","A medium shot from behind, camera follows Sen. She carefully stores the dumpling, takes a breath, and walks decisively back towards the bathhouse's glowing entrance. Her silhouette is strong against the light. Night scene. Studio Ghibli style, showing her transition into a more proactive role."
46,5,全景,固定,千寻，无脸男,千寻站在桥上，无脸男从雨夜的黑暗中缓缓浮现，静静地望着她。,,"A young girl in a green kimono stands on a wooden bridge in the rain at night. A tall, dark, featureless spirit figure with a white mask emerges from the shadows, watching her silently. Studio Ghibli style, atmospheric, moody lighting, rain droplets, hand-drawn aesthetic, detailed background.","A still shot of a wooden bridge in the rain at night. A girl stands looking ahead. From the darkness behind her, a tall, shadowy figure with a white mask slowly materializes, its form becoming clearer. The camera is static, focusing on the eerie emergence. Studio Ghibli animation style, atmospheric rain, moody lighting."
47,4,中景,缓慢推进,无脸男,无脸男站在桥中央，身体微微前倾，面具朝向千寻离开的方向。,,"Medium shot of No-Face, a tall black spirit with a simple white mask, standing alone on a wet wooden bridge. Rain falls around him. He leans forward slightly, his mask tilted, conveying a sense of longing and isolation. Studio Ghibli style, expressive character design, detailed rain effects, somber mood.","A medium shot of No-Face standing on the bridge. The camera slowly pushes in towards his masked face, emphasizing his silent, observing presence. Rain continues to fall, creating ripples in puddles around his feet. Studio Ghibli animation, slow push-in, focus on character's enigmatic stillness."
48,3,近景,固定,千寻,千寻回头看了一眼桥的方向，脸上带着一丝困惑和不安，然后转身继续走。,,"Close-up of Chihiro's face as she glances back over her shoulder. Her expression is a mix of confusion, curiosity, and slight unease. Raindrops glisten on her hair and clothes. Studio Ghibli style, detailed facial expression, emotional depth, soft lighting contrasting with the dark background.","Close-up on Chihiro's face. She turns her head to look back, her eyes showing a flicker of concern. The camera holds on her expression before she turns away. Studio Ghibli character animation, focus on subtle emotional change, rain in the background."
49,5,全景,缓慢拉远,无脸男,无脸男依然站在原地，望着千寻消失的走廊入口，身影在雨中显得孤独而执着。,,"Wide shot from behind No-Face. He stands motionless on the bridge, looking towards a distant, lit corridor entrance where Chihiro disappeared. The rainy night surrounds him, highlighting his solitary figure. Studio Ghibli style, deep perspective, atmospheric lighting, feeling of loneliness and vast space.","A wide shot from behind No-Face. The camera slowly pulls back, revealing his solitary figure on the bridge against the expansive, rainy bathhouse exterior. The focus is on his stillness and the distance between him and the lit entrance. Studio Ghibli style, slow pull-out, establishing mood."
